,Unnamed: 0,Unnamed: 0.1,prompt,output
0,0,0,$250/kWh,$250/kWh at.25 or $5kWh at.25. Wh/kWh is definitely achievable. We expect these numbers to
1,1,1,$300M,$300M for LJ and ~$500M for RV1. Total cost was about % of original $300M Loki design. Original goal
2,2,2,$35k,"$35k price, with $2k stipend plus shipping & overnight restocking, will get you $3k refund or full refund"
3,3,3,$5,"$5k Bitcoin & ETH (per person) max spent is $2k, so max of % spent is $550k. Conf"
4,4,4,$US,$US price in (UK only) region & shipping worldwide by Nov. Return policy explained clearly: buyers pay same taxes & return
5,5,5,&amp;,"& sounds too (also, of course) & some of the things Ive said & said on record are untrue."
6,6,6,&lt;ahem&gt;,&lt;ahem&gt; dark humor (LOI&gt; dark humor ok) lol. Wonder what that does inside a Tweet.
7,7,7,(Ahem),"(Ahem) come true haha. The road system is *actually* a neural net, a branching tree of interconnected neural nets roughly analogous to Google"
8,8,8,(Credit,"(Credit ) ) also invented the rolling stock, Sloth, etc. Nobody actually owned that. We just added rollers to stocks to increase usefulness"
9,9,9,(Formerly),(Formerly) independent. No financial contribution from me. Funding from any major funding sources. No conflicts of interest. No crypto holdings. Nothing to
10,10,10,(Lack,(Lack of) Faith in God and His Son Jesus appears to be the only confirmed and/or hypothesised candidate. Odds of a %
11,11,11,(Sigh),"(Sigh) I will eat a happy meal on tv if accepts Dogecoin. Doesn't sound right. Also, I dont want to take"
12,12,12,(Zero,"(Zero is the ultimate superpower) & scaling it out over time imo, so it wont be until roughly & initially (Earth"
13,13,13,(muffled,(muffled titter) or (sigh) that were close enough for consumption. Those are just listener questions. Other people can ask us
14,14,14,*In,"*Innovation begets innovation; therefore liberty dies! """""" - Arthur C Clarke, p. xxiv. Clarke believed in the supersonic"
15,15,15,*cooling,*cooling metal (cryo or not) diff is almost % more corrosion-proof than asphalt (basically asphalt) & much stronger
16,16,16,-bit,-bit floating point? That number certainly deserves closer examination. Is there more? Hard to say. Has anyone seen binary floating point? Hard to say
17,17,17,/2,"/2/15 update, now at ~229 sec or ~2/10 of what was presented. Hopefully, more on this tomorrow. The real"
18,18,18,/4,/4 of this article was based on incorrect Electrek article. No one at SpaceX/Tesla ever connected the funds to me or my companies. None
19,19,19,A123,"A123 is kinda badass in this vid. Arms, legs wt biplane & leg deployable. Raptor at least. Main"
20,20,20,ABS,ABS calibration algorithm almost done. Will report soon. Requires software updates to distinguish between real & unreal occlusion counts. Disturbingly
21,21,21,AC,"AC. Concrete beam cant print, as cut out in the beam making it hard to see through, but thats kinda what Im talking about anyway."
22,22,22,AF,"AF8 thrust is about half that of Atlas, so avg Isp would be ~225 sec. Starship has half that thrust. Delta IV Heavy has"
23,23,23,AI,"AI would do the exact opposite. Say you want a car made out of air-con, methane (part of CH4), lithium-ion &"
24,24,24,AMA,AMA from CIO of General Atomics (aka RIP) is just amazing. Very tough call. Was fired in disgust after GM & Chrysler
25,25,25,AMD,AMD is doing great work with the Giga Texas factory. Excell has a strong local engineering background. Tesla & Giga will both remain
26,26,26,AP,"AP2 software updates are sent out automatically & sync to all cars in our fleet. Auto route inference, destination chargers & time"
27,27,27,ATF,ATF reports hover just above the surface of Mars & land on the moon several times a day. Just barely above % water. Anything below
28,28,28,AWD,AWD with Tesla Supercharger V3 crew helping to clear a path through flooded LA Freeway. Team is awesome!! Pic of Supercharger
29,29,29,Aargh,"Aargh! Thats not fair! Ok, well try to get a closer QA with. Lots of great suggestions, but we need to"
30,30,30,Abandoned,Abandoned car found abandoned in parking lot. Driver has a citation for illegally parked in violation. Next attempt tomorrow. Hopefully not tripped. Tesla
31,31,31,Ability,"Ability is good both for humans & for the biosphere. That said, I do think there are some positives and negatives with both cars &"
32,32,32,Abort,Abort was caused by oxygen in header tank. No injuries. Close examination of vehicle & engine. Engine shows no signs of leaking. Proceed
33,33,33,Aborted,"Aborted on ignition timing due to high speed burst, but, still, a success on reentry would be very impressive & permit restart to"
34,34,34,About,About to do first flight of crew Dragon spaceship for the Boring Company in California. This is our toughest launch ever. Difficulty is proving many laws &
35,35,35,Above,"Above was Earth from a mile away. At that altitude, atmospheric density is similar to Mars. At that altitude, propellant consumption is same as atmosphere"
36,36,36,Absolutely,Absolutely. SpaceX uses metric tons of thrust with a capacity of almost half that of the largest ship on the moon. You can crush rock &
37,37,37,"Absolutely,","Absolutely, were already recycling them. Its pretty obvious why. Adding steel hoops makes a big difference. Rails are designed to flip over when tipped over."
38,38,38,Abysmal,Abysmal autocorrect is now much more human-like & has much greater precision. The advent of AI will only accelerate AI.
39,39,39,Accelerating,Accelerating Starship development to achieve full Isp with booster & down to ~350km/h with (as planned) unimproved
